"","cnt","yr","workingday","atemp","hum","windspeed","season2","season3","season4","weathersit2","weathersit3","weekday456","yr_atemp"
"1",31.3847096529504,0,0,0.363625,0.805833,0.160446,0,0,0,1,0,1,0
"2",28.3019433961698,0,0,0.353739,0.696087,0.248539,0,0,0,1,0,0,0
"3",36.7287353444139,0,1,0.189405,0.437273,0.248309,0,0,0,0,0,0,0
"4",39.522145690739,0,1,0.212122,0.590435,0.160296,0,0,0,0,0,0,0
"5",40,0,1,0.22927,0.436957,0.1869,0,0,0,0,0,0,0
"6",40.0749298190278,0,1,0.233209,0.518261,0.0895652,0,0,0,0,0,1,0
"7",38.8587184554509,0,1,0.208839,0.498696,0.168726,0,0,0,1,0,1,0
"8",30.967725134404,0,0,0.162254,0.535833,0.266804,0,0,0,1,0,1,0
"9",28.6705423736629,0,0,0.116175,0.434167,0.36195,0,0,0,0,0,0,0
"10",36.3455636907725,0,1,0.150888,0.482917,0.223267,0,0,0,0,0,0,0
"11",35.5387112878337,0,1,0.191464,0.686364,0.122132,0,0,0,1,0,0,0
"12",34.0881210981186,0,1,0.160473,0.599545,0.304627,0,0,0,0,0,0,0
"13",37.4966665185054,0,1,0.150883,0.470417,0.301,0,0,0,0,0,1,0
"14",37.6961536499415,0,1,0.188413,0.537826,0.126548,0,0,0,0,0,1,0
"15",35.3270434653114,0,0,0.248112,0.49875,0.157963,0,0,0,1,0,1,0
"16",34.6987031457949,0,0,0.234217,0.48375,0.188433,0,0,0,0,0,0,0
"17",31.6227766016838,0,0,0.176771,0.5375,0.194017,0,0,0,1,0,0,0
"18",26.134268690744,0,1,0.232333,0.861667,0.146775,0,0,0,1,0,0,0
"19",40.6201920231798,0,1,0.298422,0.741739,0.208317,0,0,0,1,0,0,0
"20",43.8976081352959,0,1,0.25505,0.538333,0.195904,0,0,0,1,0,1,0
"21",39.2810386828047,0,1,0.157833,0.457083,0.353242,0,0,0,0,0,1,0
"22",31.3209195267317,0,0,0.0790696,0.4,0.17197,0,0,0,0,0,1,0
"23",31.4006369362152,0,0,0.0988391,0.436522,0.2466,0,0,0,0,0,0,0
"24",37.6297754444536,0,1,0.11793,0.491739,0.15833,0,0,0,0,0,0,0
"25",34.1613817050774,0,1,0.223317,0.793043,0.1233,0,0,0,1,0,1,0
"26",33.1360830515618,0,0,0.212126,0.651739,0.145365,0,0,0,0,0,1,0
"27",33.1058907144937,0,0,0.250322,0.722174,0.0739826,0,0,0,0,0,0,0
"28",38.742741255621,0,1,0.18625,0.60375,0.187192,0,0,0,1,0,0,0
"29",36.8781778291715,0,1,0.23453,0.829565,0.053213,0,0,0,1,0,0,0
"30",39.0640499692492,0,1,0.254417,0.775417,0.264308,0,0,0,1,0,0,0
"31",39.3700393700591,0,1,0.177878,0.437826,0.277752,0,0,0,0,0,1,0
"32",41.3279566395437,0,1,0.228587,0.585217,0.127839,0,0,0,1,0,1,0
"33",31.7017349682947,0,0,0.243058,0.929167,0.161079,0,0,0,1,0,1,0
"34",40.2864741569674,0,0,0.291671,0.568333,0.1418,0,0,0,0,0,0,0
"35",41.3763217311544,0,1,0.303658,0.738333,0.0454083,0,0,0,0,0,0,0
"36",39.1152144312159,0,1,0.198246,0.537917,0.36195,0,0,0,0,0,0,0
"37",40.0624512480203,0,1,0.144283,0.494783,0.188839,0,0,0,1,0,0,0
"38",39.2173431022552,0,1,0.149548,0.437391,0.221935,0,0,0,0,0,1,0
"39",41.7851648315524,0,1,0.213509,0.506364,0.10855,0,0,0,0,0,1,0
"40",38.3666521865018,0,0,0.232954,0.544167,0.203367,0,0,0,0,0,1,0
"41",39.8622628559895,0,0,0.324113,0.457391,0.260883,0,0,0,0,0,0,0
"42",43.7378554572581,0,1,0.39835,0.375833,0.417908,0,0,0,0,0,0,0
"43",42.6028168082816,0,1,0.254274,0.314348,0.291374,0,0,0,0,0,0,0
"44",45.9891291502677,0,1,0.3162,0.423478,0.251791,0,0,0,0,0,0,0
"45",49.749371855331,0,1,0.428658,0.505,0.230104,0,0,0,0,0,1,0
"46",54.1017559788959,0,1,0.511983,0.516667,0.264925,0,0,0,0,0,1,0
"47",40.4351332383115,0,0,0.391404,0.187917,0.507463,0,0,0,0,0,1,0
"48",42.5675933075855,0,0,0.27733,0.407826,0.223235,0,0,0,0,0,0,0
"49",33.2716095192282,0,0,0.284075,0.605,0.307846,0,0,0,1,0,0,0
"50",38.0788655293195,0,1,0.186033,0.577778,0.195683,0,0,0,0,0,0,0
"51",43.7835585579793,0,1,0.245717,0.423043,0.094113,0,0,0,0,0,0,0
"52",42.5088226136646,0,1,0.289191,0.697391,0.250496,0,0,0,1,0,1,0
"53",38.2230297072328,0,1,0.350461,0.712174,0.346539,0,0,0,1,0,1,0
"54",44.3734154646676,0,0,0.282192,0.537917,0.186571,0,0,0,0,0,1,0
"55",49.0102030193714,0,0,0.351109,0.68,0.125248,0,0,0,0,0,0,0
"56",38.0263066836631,0,1,0.400118,0.876364,0.289686,0,0,0,1,0,0,0
"57",43.0232495285979,0,1,0.263879,0.535,0.216425,0,0,0,0,0,0,0
"58",46.1952378498044,0,1,0.320071,0.449583,0.307833,0,0,0,0,0,0,0
"59",41.0487515035476,0,1,0.200133,0.318333,0.225754,0,0,0,0,0,1,0
"60",44.0908153700972,0,1,0.255679,0.610417,0.203346,0,0,0,1,0,1,0
"61",45.5741154604234,0,0,0.378779,0.789167,0.251871,0,0,0,1,0,1,0
"62",24.5967477524977,0,0,0.366252,0.948261,0.343287,0,0,0,1,0,0,0
"63",43.2666153055679,0,1,0.238461,0.551304,0.341352,0,0,0,0,0,0,0
"64",46.184412955022,0,1,0.3024,0.420833,0.12065,0,0,0,0,0,0,0
"65",43.4856298103178,0,1,0.286608,0.775417,0.22015,0,0,0,1,0,0,0
"66",24.9599679486974,0,1,0.385668,0,0.261877,0,0,0,0,1,1,0
"67",44.4634681508314,0,1,0.305,0.649565,0.23297,0,0,0,1,0,1,0
